name_of_city,state_name,population_total,sex_ratio,effective_literacy_rate_total,effective_literacy_rate_female,total_graduates
Satna ,MADHYA PRADESH,280248,895,86.33,80.01,37695
Sawai Madhopur ,RAJASTHAN,120998,914,80.85,69.16,13480
Secunderabad ,ANDHRA PRADESH,213698,914,87.75,83.59,42492
Sehore ,MADHYA PRADESH,108818,933,85.52,79.99,13887
Seoni ,MADHYA PRADESH,102377,955,91.16,86.45,16335
Serampore ,WEST BENGAL,183339,940,89.99,87.05,30060
Shahjahanpur ,UTTAR PRADESH,327975,894,68.92,64.5,33510
Shamli ,UTTAR PRADESH,107233,874,81.97,75.57,13343
Shikohabad ,UTTAR PRADESH,107300,882,81.68,76.59,15351
Shillong ,MEGHALAYA,143007,1042,92.34,90.33,25113
Shimla ,HIMACHAL PRADESH,169758,818,94.67,93.35,43353
Shimoga ,KARNATAKA,322428,991,88.02,84.7,37463
Shivpuri ,MADHYA PRADESH,179972,890,79.24,70.86,22320
Sikar ,RAJASTHAN,237579,929,77.13,67.37,20786
Silchar ,ASSAM,172709,989,91.74,89.5,22274
Siliguri ,WEST BENGAL,509709,951,85.46,81.94,65003
Singrauli ,MADHYA PRADESH,220295,878,77.35,67.11,18047
Sirsa ,HARYANA,183282,893,83.03,76.98,24453
Sitapur ,UTTAR PRADESH,177351,899,83.11,79.43,28003
Siwan ,BIHAR,134458,903,84.65,76.89,14545
Solapur ,MAHARASHTRA,951118,972,83.88,76.3,88638
Sonipat ,HARYANA,277053,873,87.56,81.17,46858
South Dum Dum ,WEST BENGAL,410524,987,92.82,90.48,102942
Srikakulam ,ANDHRA PRADESH,126003,1013,85.13,78.95,21745
Srinagar ,JAMMU & KASHMIR,1192792,888,70.98,63.52,135783
Sujangarh ,RAJASTHAN,101528,950,74.55,63.06,5284
Sultan Pur Majra ,NCT OF DELHI,181624,896,79.78,71.37,7390
Sultanpur ,UTTAR PRADESH,107914,904,88.63,84.7,20475
Surat ,GUJARAT,4462002,758,89.03,84.05,278795
Surendranagar Dudhrej ,GUJARAT,177827,918,85.34,78.41,17558
Suryapet ,ANDHRA PRADESH,105250,1019,84.88,78.74,14203
Tadepalligudem ,ANDHRA PRADESH,103577,1024,83.1,79.71,11527
Tadpatri ,ANDHRA PRADESH,108249,1004,72.17,61.93,8618
Tambaram ,TAMIL NADU,176807,947,93.72,91.5,35148
Tenali ,ANDHRA PRADESH,164649,1025,82.63,78.41,22433
Thane ,MAHARASHTRA,1818872,882,91.36,88.14,241148
Thanesar ,HARYANA,154962,852,85.73,80.85,32979
Thanjavur ,TAMIL NADU,222619,1037,91.48,88.14,33652
Thiruvananthapuram ,KERALA,752490,1064,93.72,92.58,151257
Thoothukkudi ,TAMIL NADU,237374,1011,94.47,92.56,31795
Thrissur ,KERALA,315596,1076,97.24,96.26,53535
Tiruchirappalli ,TAMIL NADU,846915,1025,91.32,88.08,123329
Tirunelveli ,TAMIL NADU,474838,1024,90.98,87.08,59397
Tirupati ,ANDHRA PRADESH,287035,966,87.55,82.21,55454
Tiruppur ,TAMIL NADU,444543,954,87.67,82.41,33358
Tiruvannamalai ,TAMIL NADU,144683,1000,81.64,77.7,16502
Tiruvottiyur ,TAMIL NADU,248059,987,88.21,84.8,25781
Titagarh ,WEST BENGAL,118426,852,81.18,74.47,5643
Tonk ,RAJASTHAN,165363,947,69.47,59.85,11776
Tumkur ,KARNATAKA,305821,968,85.97,83.47,42163
Udaipur ,RAJASTHAN,451735,925,90.66,85.39,92090
Udgir ,MAHARASHTRA,104063,911,85.78,79.43,9924
Udupi ,KARNATAKA,125350,1021,93.89,91.35,22444
Ujjain ,MADHYA PRADESH,515215,942,85.55,79.62,72743
Ulhasnagar ,MAHARASHTRA,506937,875,89.21,84.75,43561
Uluberia ,WEST BENGAL,222175,946,81.13,76.82,11384
Unnao ,UTTAR PRADESH,178681,899,83.72,79.8,27220
Uttarpara Kotrung ,WEST BENGAL,162386,961,91.16,88.75,35773
Vadodara ,GUJARAT,1666703,923,92.37,88.99,279959
Valsad ,GUJARAT,114987,950,92.7,89.72,18980
Varanasi ,UTTAR PRADESH,1201815,887,80.12,75.63,172622
Vasai Virar City ,MAHARASHTRA,1221233,880,91.15,86.9,129954
Vellore ,TAMIL NADU,185895,1032,86.67,81.84,15592
Veraval ,GUJARAT,153696,966,78,69.21,10089
Vidisha ,MADHYA PRADESH,155959,915,86.88,80.98,22023
Vijayawada ,ANDHRA PRADESH,1048240,997,82.59,78.94,135425
Visakhapatnam,ANDHRA PRADESH,1730320,977,82.66,77.18,250549
Vizianagaram ,ANDHRA PRADESH,227533,1039,81.85,75.8,30656
Warangal ,ANDHRA PRADESH,620116,998,84.16,76.79,109613
Wardha ,MAHARASHTRA,105543,982,94.05,90.88,19363
Yamunanagar ,HARYANA,216628,877,85.91,81.71,29803
Yavatmal ,MAHARASHTRA,116714,988,91.81,88.17,13511
